Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DOCU,DocuSign Inc. Common Stock,$78.33,-2.03,-2.526%,15898852609.00,United States,1989,504101,Technology,Computer Software: Prepackaged Software
DUOL,Duolingo Inc. Class A Common Stock,$312.32,-10.25,-3.178%,13737257155.00,United States,2021,188820,Technology,Computer Software: Prepackaged Software
DXCM,DexCom Inc. Common Stock,$75.47,0.79,1.058%,29478234083.00,United States,2005,1865950,Health Care,Medical/Dental Instruments
EA,Electronic Arts Inc. Common Stock,$162.205,-1.915,-1.167%,42541962930.00,United States,,410883,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$61.88,-0.42,-0.674%,29640520000.00,United States,1998,699942,Consumer Discretionary,Business Services
ENTG,Entegris Inc. Common Stock,$98.02,-3.48,-3.429%,14800820137.00,United States,2000,383510,Industrials,Plastic Products
EQIX,Equinix Inc. Common Stock REIT,$898.97,0.85,0.095%,86739985467.00,United States,2000,103085,Real Estate,Real Estate Investment Trusts
ERIC,Ericsson American Depositary Shares,$7.965,-0.035,-0.438%,26636168569.00,Sweden,,6437020,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company Class A Common Stock,$410.89,4.78,1.177%,18979670633.00,United States,,67015,Finance,Specialty Insurers
ESLT,Elbit Systems Ltd. Ordinary Shares,$236.25,-0.97,-0.409%,10477687500.00,Israel,,3598,Industrials,Military/Government/Technical
EVRG,Evergy Inc. Common Stock,$63.12,0.32,0.51%,14516095914.00,United States,,337504,Utilities,Power Generation
EWBC,East West Bancorp Inc. Common Stock,$102.57,-1.00,-0.966%,14219191198.00,United States,,169471,Finance,Major Banks
EXC,Exelon Corporation Common Stock,$38.64,0.52,1.364%,38826772429.00,United States,,1136243,Utilities,Power Generation
EXE,Expand Energy Corporation Common Stock,$95.175,-0.015,-0.016%,21988736233.00,United States,,432167,Energy,Oil & Gas Production
EXEEL,Expand Energy Corporation Class C Warrants,$81.27,0.00,0.00%,18776197465.00,United States,,96,Energy,Oil & Gas Production
EXEEW,Expand Energy Corporation Class A Warrants,$89.48,-0.72,-0.798%,20672993099.00,United States,,200,Energy,Oil & Gas Production
EXEEZ,Expand Energy Corporation Class B Warrants,$85.22,0.00,0.00%,19688784889.00,United States,,2,Energy,Oil & Gas Production
EXPE,Expedia Group Inc. Common Stock,$178.54,-3.72,-2.041%,22914978754.00,United States,,305093,Consumer Discretionary,Transportation Services
FANG,Diamondback Energy Inc. Common Stock,$180.665,-1.755,-0.962%,52752227734.00,United States,2012,322672,Energy,Oil & Gas Production
FAST,Fastenal Company Common Stock,$81.72,-0.44,-0.536%,46816284371.00,United States,1987,597463,Consumer Discretionary,RETAIL: Building Materials
FCNCA,First Citizens BancShares Inc. Class A Common Stock,$2180.315,28.295,1.315%,30501505791.00,United States,,11781,Finance,Major Banks
FER,Ferrovial SE Ordinary Shares,$38.73,0.15,0.389%,28173877499.00,Netherlands,,9184,Industrials,Military/Government/Technical
FFIV,F5 Inc. Common Stock,$239.675,-2.375,-0.981%,13969325314.00,United States,1999,68127,Telecommunications,Computer Communications Equipment
FITB,Fifth Third Bancorp Common Stock,$46.92,-0.34,-0.719%,31461892199.00,United States,,711851,Finance,Major Banks
